股票代码,出现粘合日期,订单状态,进场日期,是否有平半仓,进场价格,出场日期,出场价格, 利润
002723,2016-09-12,未进场就被达到止损位置出场,,False,23.88,,0,0
002681,2017-05-23,未进场就被达到止损位置出场,,False,12.94,,0,0
002705,2015-03-02,压到红线止损出场,2015-03-05,True,15.63,2015-04-09,17.618125,1.9881249999999984
002681,2017-05-22,未进场就被达到止损位置出场,,False,13.44,,0,0
002681,2016-11-02,未进场就被达到止损位置出场,,False,14.25,,0,0
002681,2016-11-01,未进场就被达到止损位置出场,,False,14.35,,0,0
002677,2016-07-11,未进场就被达到止损位置出场,,False,11.78,,0,0
002681,2016-10-31,止损出场,2016-11-10,False,14.35,2016-11-18,14.06,-0.28999999999999915
002677,2014-09-04,压到红线止损出场,2014-09-10,True,14.16,2014-10-13,17.705000000000002,3.5450000000000017
002681,2016-10-27,未进场就被达到止损位置出场,,False,14.37,,0,0
002677,2014-09-04,压到红线止损出场,2014-09-10,True,14.16,2014-10-13,17.705000000000002,3.5450000000000017
002681,2016-10-27,未进场就被达到止损位置出场,,False,14.37,,0,0
002677,2014-06-09,压到红线止损出场,2014-06-12,True,11.84,2014-07-04,12.891250000000001,1.0512500000000014
002681,2016-10-18,止损出场,2016-10-24,False,14.55,2016-10-31,14.13,-0.41999999999999993
002681,2013-04-02,未进场就被达到止损位置出场,,False,10.22,,0,0
002677,2013-03-06,止损出场,2013-05-21,False,9.47,2013-05-29,9.22,-0.25
002543,2017-07-10,未进场就被达到止损位置出场,,False,25.45,,0,0
002681,2013-04-01,未进场就被达到止损位置出场,,False,10.22,,0,0
002677,2013-03-05,未进场就被达到止损位置出场,,False,9.47,,0,0
002543,2016-12-27,止损出场,2016-12-30,False,17.42,2017-01-12,17.1,-0.3200000000000003
002681,2013-03-13,未进场就被达到止损位置出场,,False,10.4,,0,0
002677,2013-03-04,止损出场,2013-03-07,False,9.28,2013-03-12,8.9,-0.379999999999999
002543,2016-08-29,止损出场,2016-09-01,True,18.43,2016-09-06,18.0,-0.4299999999999997
002508,2016-11-30,未进场就被达到止损位置出场,,False,39.39,,0,0
002677,2012-10-30,止损出场,2012-11-02,False,8.42,2012-11-08,8.15,-0.2699999999999996
002543,2016-07-27,未进场就被达到止损位置出场,,False,18.45,,0,0
002508,2016-11-14,未进场就被达到止损位置出场,,False,37.68,,0,0
002677,2012-10-29,止损出场,2012-11-01,False,8.39,2012-11-08,8.15,-0.2400000000000002
002543,2016-04-13,止损出场,2016-04-28,False,16.15,2016-04-29,15.62,-0.5299999999999994
002508,2016-09-14,压到红线止损出场,2016-09-21,True,39.1,2016-10-10,39.804,0.7040000000000006
002677,2012-10-17,止损出场,2012-10-22,False,8.52,2012-10-26,8.27,-0.25
002543,2016-03-16,压到红线止损出场,2016-03-21,True,14.81,2016-04-01,15.04125,0.2312499999999993
002508,2016-08-23,压到红线止损出场,2016-09-19,True,38.85,2016-10-10,39.804,0.9540000000000006
002677,2012-10-16,压到红线止损出场,2012-10-19,True,8.4,2012-10-23,8.43375,0.0337499999999995
002543,2015-03-02,未进场就被达到止损位置出场,,False,12.78,,0,0
002543,2015-02-09,未进场就被达到止损位置出场,,False,12.26,,0,0
002677,2012-08-28,压到红线止损出场,2012-09-05,True,8.86,2012-09-17,8.9225,0.0625
002508,2014-05-14,"观望,未进场",,False,39.26,,0,0
002403,2017-06-27,未进场就被达到止损位置出场,,False,13.57,,0,0
002543,2014-06-10,止损出场,2014-06-13,False,11.47,2014-06-18,11.26,-0.21000000000000085
002677,2012-08-27,压到红线止损出场,2012-09-06,True,8.87,2012-09-17,8.9225,0.05250000000000021
002508,2012-10-24,止损出场,2012-10-29,False,17.62,2012-11-14,16.86,-0.7600000000000016
002403,2016-12-07,"观望,未进场",,False,15.95,,0,0
002543,2014-06-09,止损出场,2014-06-12,True,11.4,2014-06-18,11.24,-0.16000000000000014
002508,2012-10-23,未进场就被达到止损位置出场,,False,17.71,,0,0
002403,2016-10-31,压到红线止损出场,2016-11-03,True,15.05,2016-11-16,15.773125000000002,0.7231250000000014
002543,2014-05-19,止损出场,2014-05-22,False,11.42,2014-05-23,11.16,-0.2599999999999998
002508,2012-10-22,止损出场,2012-10-30,False,17.84,2012-11-06,17.51,-0.3299999999999983
002403,2016-09-12,压到红线止损出场,2016-09-19,True,14.8,2016-10-12,15.04,0.23999999999999844
002508,2012-07-05,未进场就被达到止损位置出场,,False,17.96,,0,0
002543,2014-04-23,"观望,未进场",,False,11.94,,0,0
002403,2014-05-26,压到红线止损出场,2014-06-06,True,9.53,2014-06-18,9.666875,0.13687499999999986
002508,2012-07-05,未进场就被达到止损位置出场,,False,17.96,,0,0
002403,2014-01-09,未进场就被达到止损位置出场,,False,9.15,,0,0
002543,2014-04-22,"观望,未进场",,False,12.05,,0,0
002508,2012-07-04,止损出场,2012-07-09,False,18.02,2012-07-13,17.27,-0.75
002403,2014-01-09,未进场就被达到止损位置出场,,False,9.15,,0,0
002543,2014-03-26,未进场就被达到止损位置出场,,False,12.56,,0,0
002508,2012-03-12,未进场就被达到止损位置出场,,False,18.4,,0,0
002403,2011-11-30,未进场就被达到止损位置出场,,False,11.61,,0,0
002508,2011-12-19,未进场就被达到止损位置出场,,False,16.18,,0,0
002543,2014-03-25,"观望,未进场",,False,12.63,,0,0
002403,2010-10-27,止损出场,2010-11-01,True,16.86,2010-11-12,16.4,-0.46000000000000085
002543,2013-08-28,止损出场,2013-09-03,False,11.04,2013-09-12,10.47,-0.5699999999999985
002508,2011-11-14,止损出场,2012-01-10,False,16.76,2012-01-13,16.23,-0.5300000000000011
002403,2010-10-26,止损出场,2010-11-01,False,17.0,2010-11-03,16.59,-0.41000000000000014
002543,2013-08-27,未进场就被达到止损位置出场,,False,11.09,,0,0
002508,2011-08-29,止损出场,2011-09-01,False,20.86,2011-09-02,19.4,-1.4600000000000009
002403,2010-10-25,未进场就被达到止损位置出场,,False,17.45,,0,0
